CategoryV7,remarks_text,subject_content_text,root_category_name,root_category_code,total_no_of_stages,hierarchy_order,category_hierarchy_code
22090, Detailed action taken report attached,"Tourism >> Schemes /Projects/ Proposals / Under Schemes of Ministry of Tourism. >> Swadesh Darshan
-----------------------
To,


Hon&#39;ble  Secretary (Tourism)
Ministry of Tourism
1st Floor Transport Bhawan, 1
Parliament Street, New Delhi.



Sir,


       After meeting reg development of Beri Panchpota Ecotourism in west bengal with Honorable Secretary (Central Tourism Ministry) Mr. Arvind Singh, nearly Eight months passed. There was no initiative to build Ecotourism at Beri Panchpota in west bengal till now. 


       The Beri Panchpota village at Gaighata Block in westbengal is situated 70 km away from Kolkata city in India. Five horse nail shaped lakes (Natural oxbow Lake) flowing in this village. Two biggest lake in this village are Beri lake (8.23 Km long) and Duma lake (14 km long). Others lake are approximately 6 km, 4 km and 3.5 km long. All lakes are naturally developed, and stunningly beautiful sweet rainwater fed water body. All lakes boasts of natural habitats of traditional small fishes, birds, tortoise, flora and fauna. We want to build an eco-tourism in this area. The development of the Beri Panchpota Ecotourism center will benefit millions of people in at least three assembly constituencies in West Bengal. We want, this tourism project should be developed in collaboration with the central and state government both. 



         But, I am sorry to inform you that there was no initiative to build Ecotourism at Beri Panchpota in west bengal till now, even after meeting with Honorable Secretary (Tourism) Mr. Arvind Singh.


         I request  to Hon&#39;ble Secretary to see this matter urgently and please visit to our village Beri Panchpota. Also request to Hon&#39;ble Secretary from us to talk about this topic, four representatives of our area would like to meet Hon&#39;ble Secretary. We want appointment to Hon&#39;ble Secretary for this.




Thanking you,



Jyoti Prokash Ghosh.

Vill+ Post- Beri panchpota 
Block- Gaighata
Dist- North 24 Parganas
W.B",Ministry of Tourism,21022,3,"['Ministry of Tourism', 'Schemes /Projects/ Proposals / Under Schemes of Ministry of Tourism.', 'Swadesh Darshan']","[21022, 21985, 22090]"
2398," With reference to member grievance , it is to inform that in respect of X-X-X-X-X, Form 13 claim has been settled an amount of Rs 33191/- and same has been transferred to PF A/c XYXOX/X3X5X8X/X8X6X on 13.01.2023.	Susanta Kumar Padhy (RPFC I)	
","Labour and Employment >> Transfer related issues >> Transfer in/out/Form 13/ Online transfer related issues

Name and Address of Establishment : PERSOLKELLY INDIA PRIVATE LIMITED
UAN No. : X0X3X9X5X8X0
PF Code/ PF Account No. : X-X-X-X-X
PPO No. : Not Provided
Scheme Certificate Number : Not Provided
PF Office : Regional Office, Bandra 1
-----------------------
Hello dear sir madam
My name is SYED SHEBAAZ AHMED
My uan number is X0X3X9X5X8X0
My pf number is X-X-X-X-X
My company name is PERSOLKELLY INDIA PRIVATE LIMITED
Hers about company details

Sir i apply for transfer request but epfo still rejected reason is Break statement
Rejected reason: Your Claim  Claim Id - X-X-X-X-X  has been rejected due to : 1) PAYMENT NOT RECEIVED FOR THE MONTH OF 05/2022 CLARIFY THE SAME 

So i contact to my Hr he&#39;s given to me Clearfication Letter break statment and also sending Epfo office regarding
So i request you to Epfo department please approve my transfer
Please find the attachment pdf file
Please reply as soon as possible",Labour and Employment,2173,3,"['Labour and Employment', 'Transfer related issues', 'Transfer in/out/Form 13/ Online transfer related issues']","[2173, 2347, 2398]"
2387," Since the complainant concern has alleged in the grievance petition about opening of PF account without his knowledge, the matter has been taken up with the employer concern vide mail dated 03.01.2022(copy attached) for immediate necessary action.	P. B. Verma (RPFC I)	","Labour and Employment >> Compliance related Issues >> Non coverage of establishment

Name and Address of Establishment : DEVENDRA NATH SINGH Khalari Angul Anugul Odisha Khalari Angul Anugul Odisha ANUGUL
UAN No. : X0X4X2X3X2X8
PF Code/ PF Account No. : XRXBXSXXXXXXXXXXXXXXXXXXXX
PPO No. : Not Provided
Scheme Certificate Number : Not Provided
PF Office : Regional Office, Bhubaneshwar
-----------------------
DEAR SIR MAI SHRI JAYKUMAR HARIDAS PATIL MAINE APNE PEHLE WALLE 1ST EMPLOYER X-X-X-X-X KO APNE DOCUMENTS UNKE KEHNE PERR Adhar Card Pan Card Our Bank Passbook WATSUP PERR SEND KARR DIYA THA KI UNHONE MUZE BOLA THA KI MAI TUMHARA BANK  KYC APPROVED KARKE DETA HU KARKE LEKIN SIR UNHONE MERA BANK KYC  APPROVED NA KARTE HUYE MERE 2ND COMPANY X-X-X-X-X ME MERA JANBOOZ KERR 1 AUGUST 2022 KI JOINNG DATE UPDATED KARR DIYA THA JAB MAINE UNSE CONTACT KIYA THA KI AAPNE AISA KYU KIYA TO WOH MUZE PEHCHANNE SE ENKAR KARAHE THE KI MAI AAPKO NAHI PEHCHNTA KARKE FIR SIR MAINE Cp Grams Grivance Perr MERE 2ND EMPLOYERS X-X-X-X-X SE CONTACT KARKE JABKI MAINE UNKE PASS KAMM BHI NA KARTE HUYE BHI MERA BANK KYC DSC SE APPROVED KARR DIYA HAI SIR ABHI BHI YEH SAB HO JANE KE BAAD MERE UAN PORTAL PERR DUBARA TIASRI BAAR  KISI OUR COMPANY KI  XHXBXAXEXHXAX KI 01 NOVEMBER 2022 KI JOINING DATE BATA RAHA HAI JABKI MAI WOH JAGAH NA TO GAYA HU OUR NAHI MAINE KABHI WAHA KAMM KIYA HAI PLZ SIR MERE  BAAR BAAR REJOINING KON KARR RAHA HAI KUCH SAMAZ NAHI AARHA HAI KRIPA KARKE MERI PROBLEM KA KUCH SOLUTION DHOOND LIJIYE KI YEH KON KARRR RAHA HAI OUR KYU KARR RAHA OUR MAI APNA PF AMMOUNT KAB WITHDRWAL KARR SAKTA HU JO BAAR BAAR REJOINING HO RAHA HAI THANKYOU SIR",Labour and Employment,2173,3,"['Labour and Employment', 'Compliance related Issues', 'Non coverage of establishment']","[2173, 2345, 2387]"
11143, Grievance letter forwarded to Panchayati Raj Department of Odisha,"Panchayati Raj >> Panchayat Development Related  Matter >> Basic facilities in villages >> Rajasthan
-----------------------
Honourable Principal Secretary, Department of Panchayati Raj, Government of India, New Delhi.
(Grievance-Dear Sir, After 76 years of independent of India, there is no regular availability of Road, Drinking water, Electricity, Health and Education, Telecommunication cum internet facility in Argen village of Sado Gramapanchayat which comes under Tileibani Block in Deogarh District. Which is a very sensitive and unfortunate matter and as it is a undeveloped hill cum inter remote area there is no good communication. So, i request you to take steps to avail Regular Road, Drinking Water facility, Education, Health and Telecommunication cum internet facility and Electricity connect to Argen village.)",Ministry of Panchayati Raj,10144,4,"['Ministry of Panchayati Raj', 'Panchayat Development Related  Matter', 'Basic facilities in villages', 'Rajasthan']","[10144, 10703, 10705, 11143]"
4896,,"Home Affairs >> Jammu Kashmir and Ladakh matters >> Others
-----------------------
PLEASE FIND THE ATTACHED FILE",Home Affairs,4742,3,"['Home Affairs', 'Jammu Kashmir and Ladakh matters', 'Others']","[4742, 4757, 4896]"
11142, Grievance letter forwarded to Panchayati Raj Department of Odisha,"Panchayati Raj >> Panchayat Development Related  Matter >> Basic facilities in villages >> Odisha
-----------------------
Honourable Principal Secretary, Department of Panchayati Raj, Government of India, New Delhi.
(Grievance-Dear Sir, After 76 years of independent of India, there is no regular availability of Road, Drinking water, Electricity, Health and Education, Telecommunication cum internet facility in Tingasil village of Gadapadar Gramapanchayat which comes under Jeypore Block in Koraput District. Which is a very sensitive and unfortunate matter and as it is a undeveloped hill cum inter remote area there is no good communication. So, i request you to take steps to avail Regular Road, Drinking Water facility, Education, Health and Telecommunication cum internet facility and Electricity connect to Tingasil village.)",Ministry of Panchayati Raj,10144,4,"['Ministry of Panchayati Raj', 'Panchayat Development Related  Matter', 'Basic facilities in villages', 'Odisha']","[10144, 10703, 10705, 11142]"
21947," 
1.       The promotion and development of tourism including eco-tourism is primarily the responsibility of State Government/ UT Administrations.

2.       However, the Ministry of Tourism, under its various scheme guidelines provides financial assistance to State Governments/ Union Territory Administrations for development of tourism related infrastructure in the country.

3.       The projects undertaken for development by the Ministry are identified in consultation with State Governments/ Union Territory Administrations / Central Agencies and are sanctioned subject to submission of project proposals by them, their adherence to relevant scheme guidelines, submission of suitable Detailed Project Reports, availability of funds and utilization of funds released for projects sanctioned earlier.

4.       There is no provision of taking up the infrastructure development projects directly by the Ministry of Tourism under its schemes.
 
5.	With a view to act upon your several representations and meetings with senior officers, and under directions from the Ministry of Tourism, this office had undertaken a site visit to explore the possibilities of developing Beri Panchpota as an Eco-tourism spot. The relevant report dated 24.06.2022 was sent to the Niche Tourism Division of the Ministry of Tourism. The report, inter alia, stated that Beri Panchpota has the potential to become an Eco-tourism spot subject to creation and development of some civic amenities as well as tourism infrastructure and that many interventions in these areas may be required from the Government.

6.	The said report of this office was forwarded by the Ministry of Tourism to the Govt. of West Bengal, with a request to take further necessary action in this regard.
","NITI Aayog >> Tourism >> Tourism Statistics
-----------------------
Sir,


        After meeting reg development of Beri Panchpota Ecotourism with Honorable Secretary (Central Tourism Ministry) Mr. Arvind Singh, nearly Eight months passed. There was no initiative to build Ecotourism at Beri Panchpota till now. The development of the Beri Panchpota Ecotourism center will benefit millions of people in at least three assembly constituencies in West Bengal. We want, this tourism project should be developed in collaboration with the central and state government both.


         I would request you to look into the matter.

Thanking You,

Jyoti Prokash Ghosh.",NITI Aayog,21018,3,"['NITI Aayog', 'Tourism', 'Tourism Statistics']","[21018, 21061, 21947]"
11142, Grievance letter forwarded to Panchayati Raj Department of Odisha,"Panchayati Raj >> Panchayat Development Related  Matter >> Basic facilities in villages >> Odisha
-----------------------
Honourable Principal Secretary, Department of Panchayati Raj, Government of India, New Delhi.
(Grievance-Dear Sir, After 76 years of independent of India, there is no regular availability of Road, Drinking water, Electricity, Health and Education, Telecommunication cum internet facility in Nepal village of Banthapur Gramapanchayat which comes under Odagaon Block in Nayagarh District. Which is a very sensitive and unfortunate matter and as it is a undeveloped hill cum inter remote area there is no good communication. So, i request you to take steps to avail Regular Road, Drinking Water facility, Education, Health and Telecommunication cum internet facility and Electricity connect to Nepal village.)",Ministry of Panchayati Raj,10144,4,"['Ministry of Panchayati Raj', 'Panchayat Development Related  Matter', 'Basic facilities in villages', 'Odisha']","[10144, 10703, 10705, 11142]"
17," REDRESSED
","Telecommunications >> Mobile Related >> Activation/Deactivation/Fault of Sim Card

Mobile Number : X4X7X2X3X2
Service Provider : Bharat Sanchar Nigam Limited Corporate Office
-----------------------
Respected Sir, 
This is with reference to the issue i have faced for which i would like to lodge complaint against BSNL Kalyani Exchange wherein they have issued Duplicate SIM which is in my mother&#39;s name (Aruna Chakraborty) without my permission and knowledge hence I would like to register this complaint and would like necessary actions to be taken.

BSNL Kalyani Exchange which has carried out this transaction in issuance of the SIM Card on 17th Dec 2022 was confirmed with BSNL customer care on the said date for the following number: X4X7X2X3X2

I would also like to inform you that I will be taking legal actions for the same as because of this mistake in issuing the SIM without verifying the details has caused financial fraud in my savings account on 19th Dec 2022 amounting to Rs.13,74,000.

I also went to Kalyani BSNL exchange on 22nd Dec and they have shared the documents with which the Duplicate SIM was issued and on looking at those we could clearly see the documents were fake and were not verified by BSNL Officials.

I am also attaching the fake documents I have received from the exchange which was used to issue the SIM Card along with the Original Document.

Regards,
Anita Rao (Chakraborty)
Alternate Contact No: X0X1X4X0X7, X0X3X6X4X4, X2X2X2X4X5",Telecommunications,1,3,"['Telecommunications', 'Mobile Related', 'Activation/Deactivation/Fault of Sim Card']","[1, 2, 17]"
11142, Grievance letter forwarded to Panchayati Raj Department of Odisha,"Panchayati Raj >> Panchayat Development Related  Matter >> Basic facilities in villages >> Odisha
-----------------------
Honourable Principal Secretary, Department of Panchayati Raj, Government of India, New Delhi.
(Grievance-Dear Sir, After 76 years of independent of India, there is no regular availability of Road, Drinking water, Health and Education, Telecommunication cum internet facility in Dadadamaha village of Talarimaha Gramapanchayat which comes under G.Udayagiri Block in Kandhamal District. Which is a very sensitive and unfortunate matter and as it is a undeveloped hill cum inter remote area there is no good communication. So, i request you to take steps to avail Regular Road, Drinking Water facility, Education, Health and Telecommunication cum internet facility in Dadadamaha village.)",Ministry of Panchayati Raj,10144,4,"['Ministry of Panchayati Raj', 'Panchayat Development Related  Matter', 'Basic facilities in villages', 'Odisha']","[10144, 10703, 10705, 11142]"
4451," The Pr.DIT(Inv.), Hyderabad vide Action Taken Report dated 25.01.2023 has reported that - In the petition, the petitioner mentioned various central government departments and investigation agencies stating that they processed his appeals and grant him reward under Income Tax Reward Scheme and attached all the correspondence made by him with various offices. On examination of the grievance filed and the attachments enclosed, it is submitted that the petitioner is filing vague petitions and is requesting to grant rewards for the petitions filed by him. In this regard, it is submitted that Reward is given based on the detection of undisclosed income on the basis of information provided by the petitioner. However, in the present case, the petitioner filed grievance seeking reward as per Income Tax Reward Scheme to help and support his unemployment and poverty referring to earlier petitions filed by him with various officers and investigation agencies which were already disposed. Since no new information was provided by the petitioner in grievance excepting requesting the interim reward as per Income Tax Reward Scheme, the question of reward does not arise and his grievance petition is disposed accordingly.	","Central Board of Direct Taxes (Income Tax) >> Direct Taxes >> Search, Seizure Matters,     Reward to informer

PAN No. : X-X-X-X-X
Regional office / Office : Region Andhra Pradesh & Telangana
-----------------------
HAPPY NEW YEAR 2023
SIR I REQUEST THE HONOURABLE MINISTER FOR FINANCE, GOVERNMENT OF INDIA,NEW DELHI TO SETTLE THE CASE ATTACHED WITH CBODT CENTRAL BOARD OF DIRECT TAXES AND BLESS ME THIS YEAR WITH EMPLOYEMENT",Central Board of Direct Taxes (Income Tax),4414,3,"['Central Board of Direct Taxes (Income Tax)', 'Direct Taxes', 'Search, Seizure Matters,     Reward to informer']","[4414, 4419, 4451]"
25809," Dear Sir/Madam,
                              उपर्युक्त  विषय  के सम्बन्ध में  कहना है कि ग्रीभान्स संख्या-XAXPX/X/X0X3X0X0X0X1द्वारा Smt Kaberi Mukherjee C O A K Mukherjee का शिकायत-पत्र  से सम्बंधित  जांच  प्रतिवेदन अंचल अधिकारी, एगारकुण्ड के पत्रांक 661, दिनांक 26 05 2023 है जो पी0 जी0 पोर्टल पर अपलोड कर दिया गया  है
 
","Administrative Reforms and Public Grievances >> Central Government related
-----------------------
PRAYER FOR ACTION THROUGH THE HOME / POLICE DEPARTMENT GOVERNMENT OF INDIA  &amp; TO SEND ACTION TAKEN INTIMATION
Respected Sir / Respected Madam
I Smt Kaberi Mukherjee C / O Shri A K Mukherjee Village Khas Nirsa Near Middle School PO Nirsa PS Nirsa District Dhanbad 828205 Contact No X4X0X4X1X5 herewith enclosed an application with enclosers for your kind action through the Government of India Home / Police Department and a request to send action taken intimation through Speed Post. 
Thanking you.
Yours faithfully
Smt Kaberi Mukherjee
Date 1.1.2023",Administrative Reforms and public grievances,25808,2,"['Administrative Reforms and public grievances', 'Central Government related']","[25808, 25809]"
1441,"As per the HCI, Wellington, the service sough by the grievant is related to New Zealand government. The grievant had sought legal remedy in New Zealand and court did not accept his  claim. High Commission/ GoI cannot intervene after it is disposed by court in a foreign country. Hence, the matter is being closed from the portal.","External Affairs >> Others
-----------------------
..
I Danapuneni Sreekanth Rao,paid tution fee to college in New-Zealand in 2009,i paid tution fee but they did not provided any services,i approached Indian embassy who responsible for Indians safety and difficulties in foreign country also not provided anything,iam sending mails to Indian embassy since13 years,in cpgrams portal I sent 7000 grievances to Ministry of External affairs,for my loss Ministry of External affairs,indian embassy,indian Government is responsible,i should get permanent residency from New-Zealand Government and Dollars 913336 NZD equivalent to Indian rupees 5 crores Indian rupees should get from Ministry of External affairs and Indian Government as soon as possible,already 13 years over.please send money to given below Bank ACCOUNT. 


Bank Details: 
ACCOUNT NAME: Sreekanth Rao Danapuneni 

ACCOUNT NO: X2X8X8X9X8X 

IFSC CODE: X-X-X-X-X 

BANK: STATE BANK OF INDIA 

BRANCH:MANTHANI 
STATE. : TELANGANA 
COUNTRY :. INDIA 


Thanks and regards 
--------------------------------------- 
Danapuneni Sreekanth Rao 
+X1X9X3X4X8X0",External Affairs,1221,2,"['External Affairs', 'Others']","[1221, 1441]"
